Grade,Course Name,Period,Teacher,Location,Term
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,BAND,10,R. Kaserman,MUS,ALYR
11,ENGLISH 11,2,S. Emert,122,ALYR
11,TRIGONOMETRY,3,J. Warner,121,SEM1
11,STATISTICS CC+,3,J. Warner,121,SEM2
11,CHEMISTRY,4,R. Yobi,133,ALYR
11,DRAMA I,5,L. Delciappo,ART,SEM1
11,DRAMA II,5,L. Delciappo,ART,SEM2
11,LUNCH,6,Z. McFarren,CAFE,ALYR
11,AMERICAN GOVERNMENT,7,R. Sparks,124,ALYR
11,SPORTS OFFICIATING & GAME DAY,8,S. Huth,134,SEM1
11,COMPUTER APPLICATIONS,8,M. Doty,136,SEM2
11,CHORALE,9,H. Carr,AUD,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,BAND,10,R. Kaserman,MUS,ALYR
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,WORLD STUDIES,3,R. Sparks,124,ALYR
9,STUDY HALL,4,J. Reynolds,LIB,SEM1
9,FINANCIAL LITERACY,4,D. Fennell,132,SEM2
9,ENGLISH 9,5,S. Emert,122,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,STEM 1,7,B. Welch,129,SEM1
9,STUDY HALL,7,J. Reynolds,LIB,SEM2
9,ALGEBRA I,8,I. Haver,127,ALYR
9,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM1
9,HEALTH,9,A. Greer,134,SEM2
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,FINANCIAL LITERACY,10,D. Fennell,132,SEM1
11,STUDY HALL,10,J. Reynolds,LIB,SEM2
11,ENGLISH 11,2,S. Emert,122,ALYR
11,TRIGONOMETRY,3,J. Warner,121,SEM1
11,STATISTICS,3,J. Warner,121,SEM2
11,SPANISH 3 A,4,L. Shaffer,123,SEM1
11,SPAN 3 B,4,L. Shaffer,123,SEM2
11,STUDY HALL,5,J. Reynolds,LIB,SEM1
11,DRAMA IV,5,L. Delciappo,ART,SEM2
11,LUNCH,6,Z. McFarren,CAFE,ALYR
11,AMERICAN GOVERNMENT,7,R. Sparks,124,ALYR
11,CHEMISTRY,8,R. Yobi,133,ALYR
11,CHORALE,9,H. Carr,AUD,ALYR
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,PHYSICAL EDUCATION,10,S. Huth,GYM,SEM1
10,HEALTH,10,S. Huth,134,SEM2
10,ENGLISH 10,2,J. Augspurger,120,ALYR
10,GEOMETRY,3,I. Haver,127,ALYR
10,BIOLOGY,4,J. Miller,131,ALYR
10,STUDY HALL,5,J. Reynolds,LIB,SEM1
10,DRAMA II,5,L. Delciappo,ART,SEM2
10,ALGEBRA II,6,D. Fennell,132,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
